number,date,VCRIX,CRIX,cluster
923,18/11/10,294.8356997,16203.74618,1
922,18/11/9,282.4016306,16405.77035,1
921,18/11/8,294.404519,16788.87427,1
920,18/11/7,278.5497536,16751.1112,1
919,18/11/6,284.3824641,16197.19771,1
918,18/11/5,294.9735068,15935.27961,1
917,18/11/4,305.0588062,15761.36497,1
916,18/11/3,314.1581657,15641.64182,1
915,18/11/2,327.5319168,15641.64182,1
914,18/11/1,340.890742,15574.38297,1
913,18/10/31,340.890742,15461.70751,1
912,18/10/30,311.5806822,15336.0317,1
911,18/10/29,324.6374986,15910.01881,1
910,18/10/28,337.0687413,15820.11374,1
909,18/10/27,351.3484821,15883.98635,1
908,18/10/26,365.3913696,15860.77897,1
907,18/10/25,380.3610953,15896.50079,1
906,18/10/24,395.5885678,15882.57172,1
905,18/10/23,411.4226812,15994.74901,1
904,18/10/22,428.4190049,16053.00353,1
903,18/10/21,445.8456387,16076.34793,1
902,18/10/20,463.9703324,15931.05862,1
901,18/10/19,471.4093105,15988.94526,1
900,18/10/18,491.3720609,16341.44968,1
899,18/10/17,512.2896544,16328.89946,1
898,18/10/16,473.7235004,16276.02719,1
897,18/10/15,490.7876214,15342.49212,1
896,18/10/14,511.3526126,15470.59004,1
895,18/10/13,525.9765801,15355.43717,1
894,18/10/12,341.8718474,15050.19052,1
893,18/10/11,350.9302898,16525.9355,1
892,18/10/10,363.1015039,16705.30468,1
891,18/10/9,376.0201235,16827.4432,1
890,18/10/8,391.9647816,16598.97089,1
889,18/10/7,402.1660545,16569.25475,1
888,18/10/6,418.8890606,16790.72163,1
887,18/10/5,435.907525,16666.46013,1
886,18/10/4,452.8145738,16517.41659,1
885,18/10/3,457.9431572,16602.03577,1
884,18/10/2,476.3863802,17021.94979,1
883,18/10/1,496.6602379,17078.00422,1
882,18/9/30,496.6602379,17014.01727,1
881,18/9/29,511.8181172,16870.58894,1
880,18/9/28,499.4348262,17113.91757,1
879,18/9/27,520.6966277,16336.60608,1
878,18/9/26,533.9326605,16294.42558,1
877,18/9/25,522.782833,16555.7978,1
876,18/9/24,545.0205427,17339.02752,1
875,18/9/23,566.291527,17260.44804,1
874,18/9/22,522.2807365,17374.73891,1
873,18/9/21,497.7361348,16144.94289,1
872,18/9/20,518.9183498,15220.42365,1
871,18/9/19,520.1032341,15159.08314,1
870,18/9/18,480.309616,14609.68244,1
869,18/9/17,499.7558039,15424.56382,1
868,18/9/16,519.0153783,15492.95958,1
867,18/9/15,540.4876467,15305.56352,1
866,18/9/14,527.0096786,15344.5202,1
865,18/9/13,549.4453798,14640.07858,1
864,18/9/12,565.59263,14590.48596,1
863,18/9/11,589.6316824,14811.99627,3
862,18/9/10,613.9277612,14813.7792,3
861,18/9/9,604.1483864,14633.34072,3
860,18/9/8,616.7291015,15310.5933,3
859,18/9/7,634.4738452,15703.78812,3
858,18/9/6,400.9938392,16071.19151,1
857,18/9/5,417.6492886,18108.51437,1
856,18/9/4,431.8547276,17966.99808,1
855,18/9/3,450.0245244,18148.82,1
854,18/9/2,446.1361085,18033.71848,1
853,18/9/1,465.1280602,17365.23616,1
852,18/8/31,465.1280602,17305.06928,1
851,18/8/30,480.8865778,17460.66265,1
850,18/8/29,488.227581,17667.36745,1
849,18/8/28,485.0586394,17061.22576,1
848,18/8/27,504.2473253,16396.71376,1
847,18/8/26,525.7141364,16548.53651,1
846,18/8/25,543.8200651,16487.33695,1
845,18/8/24,557.7085772,16149.06637,1
844,18/8/23,566.234813,15694.29401,1
843,18/8/22,576.2727406,16155.20331,1
842,18/8/21,545.6742183,15590.52386,1
841,18/8/20,564.5617017,16490.42022,1
840,18/8/19,548.7306669,16163.36842,1
839,18/8/18,480.1796785,16967.81322,1
838,18/8/17,499.6621016,15697.19747,1
837,18/8/16,519.8297374,15524.88732,1
836,18/8/15,534.4619127,15362.86834,1
835,18/8/14,528.635312,15653.08681,1
834,18/8/13,549.7625359,16251.41589,1
833,18/8/12,567.8034642,16038.80728,1
832,18/8/11,525.5725454,16289.25141,1
831,18/8/10,527.9990305,17390.08309,1
830,18/8/9,433.0757061,16714.54837,1
829,18/8/8,406.1753099,18144.30801,1
828,18/8/7,415.2808203,19023.26395,1
827,18/8/6,432.391608,19356.84451,1
826,18/8/5,407.07538,19189.28253,1
825,18/8/4,423.4313267,20085.63202,1
824,18/8/3,432.7727485,20165.15865,1
823,18/8/2,445.2586803,20549.67333,1
822,18/8/1,405.2111762,20869.60012,1
821,18/7/31,405.2111762,22028.87432,1
820,18/7/30,422.3329473,22294.20274,1
819,18/7/29,440.3092486,22284.0277,1
818,18/7/28,454.5619356,22222.07994,1
817,18/7/27,462.0726489,21774.81724,1
816,18/7/26,471.7698695,22322.25324,1
815,18/7/25,415.1484608,22831.83629,1
814,18/7/24,430.4787713,21237.08262,1
813,18/7/23,448.2533057,20890.96163,1
812,18/7/22,464.46304,20934.1194,1
811,18/7/21,458.0961603,20596.57879,1
810,18/7/20,477.3936503,21373.8021,1
809,18/7/19,494.2138431,21362.00122,1
808,18/7/18,460.7482631,21602.36098,1
807,18/7/17,406.0655546,20293.19577,1
806,18/7/16,415.4178551,18938.15797,1
805,18/7/15,433.0783147,18489.57333,1
804,18/7/14,450.854486,18453.04859,1
803,18/7/13,453.479145,18278.50638,1
802,18/7/12,470.4430904,18798.72259,1
801,18/7/11,418.2541351,18513.14303,1
800,18/7/10,426.5569441,19712.33827,1
799,18/7/9,442.5848565,20111.70291,1
798,18/7/8,454.1789293,20270.65502,1
797,18/7/7,473.5074984,19789.17462,1
796,18/7/6,492.1589416,19752.80234,1
795,18/7/5,512.2909623,19886.29039,1
794,18/7/4,527.9027342,19672.02393,1
793,18/7/3,515.1499573,20023.71424,1
792,18/7/2,535.7085965,18985.64819,1
791,18/7/1,545.8111262,19112.83607,1
790,18/6/30,545.8111262,18483.00886,1
789,18/6/29,536.8114757,17714.35831,1
788,18/6/28,556.7809597,18541.36339,1
787,18/6/27,545.7837675,18228.69407,1
786,18/6/26,567.6798232,19117.31872,1
785,18/6/25,584.9505649,18858.89815,1
784,18/6/24,609.0258357,19236.5515,1
783,18/6/23,477.6946604,19016.68159,1
782,18/6/22,496.105521,21149.42438,1
781,18/6/21,516.0151532,21321.10834,1
780,18/6/20,536.1356778,21450.24732,1
779,18/6/19,544.3315822,21134.4935,1
778,18/6/18,565.5848858,20305.87702,1
777,18/6/17,589.0458097,20490.38231,1
776,18/6/16,583.2821762,20281.32228,1
775,18/6/15,566.865151,21256.30235,1
774,18/6/14,566.7084105,20003.55753,1
773,18/6/13,537.163505,20841.71742,1
772,18/6/12,556.9963252,22163.66605,1
771,18/6/11,403.3811746,21757.76606,1
770,18/6/10,411.1792651,24224.50338,1
769,18/6/9,425.9435065,24714.61062,1
768,18/6/8,443.9126864,24958.91739,1
767,18/6/7,462.4900452,24957.96713,1
766,18/6/6,477.8196073,24998.55928,1
765,18/6/5,479.0001361,24493.39897,1
764,18/6/4,493.2978711,25325.67832,1
763,18/6/3,507.5123294,24731.1309,1
762,18/6/2,528.9507013,24106.17392,1
761,18/6/1,548.3455527,23939.0156,1
760,18/5/31,548.3455527,23494.87395,1
759,18/5/30,517.0923039,23686.37178,1
758,18/5/29,476.315591,22109.11795,1
757,18/5/28,494.8438132,23590.06629,1
756,18/5/27,513.2518871,23795.06782,1
755,18/5/26,526.7507085,24066.49875,1
754,18/5/25,541.8020614,24609.51746,1
753,18/5/24,485.4082072,23995.07506,1
752,18/5/23,453.7574343,25891.09714,1
751,18/5/22,466.7227407,27440.87567,1
750,18/5/21,468.8895027,27934.04266,1
749,18/5/20,487.7879394,26892.88316,1
748,18/5/19,503.8264937,27044.56321,1
747,18/5/18,493.6949396,26429.30847,1
746,18/5/17,512.1971454,27690.04233,1
745,18/5/16,510.0511236,27983.7833,1
744,18/5/15,530.9273863,29115.71744,1
743,18/5/14,538.7054408,29243.11465,1
742,18/5/13,559.0767147,28148.73795,1
741,18/5/12,504.2139095,27634.15668,1
740,18/5/11,499.5562302,29828.90734,1
739,18/5/10,520.8067666,31102.09306,1
738,18/5/9,538.0300264,31027.32244,1
737,18/5/8,543.3025192,31565.56798,1
